"","date","state","positive","negative","pending","hospitalized","death","total","dateChecked","totalTestResults","deathIncrease","hospitalizedIncrease","negativeIncrease","positiveIncrease","totalTestResultsIncrease"
"738",20200312,"MO",1,64,NA,NA,NA,65,"2020-03-12T20:00:00Z",65,0,0,64,0,64
"739",20200312,"MS",1,41,NA,NA,NA,42,"2020-03-12T20:00:00Z",42,0,0,21,1,22
"740",20200312,"MT",1,34,NA,NA,NA,35,"2020-03-12T20:00:00Z",35,0,0,13,1,14
"741",20200312,"NC",12,60,NA,NA,NA,72,"2020-03-12T20:00:00Z",72,0,0,60,5,65
"742",20200312,"ND",1,12,14,NA,NA,27,"2020-03-12T20:00:00Z",13,0,0,5,1,6
"743",20200312,"NE",10,80,33,NA,NA,123,"2020-03-12T20:00:00Z",90,0,0,33,5,38
"744",20200312,"NH",6,94,21,NA,NA,121,"2020-03-12T20:00:00Z",100,0,0,56,2,58
"745",20200312,"NJ",30,74,20,NA,1,124,"2020-03-12T20:00:00Z",104,0,0,17,6,23
"746",20200312,"NM",5,155,NA,NA,NA,160,"2020-03-12T20:00:00Z",160,0,0,68,2,70
"747",20200312,"NV",7,168,NA,NA,NA,175,"2020-03-12T20:00:00Z",175,0,0,0,2,2
"748",20200312,"NY",216,92,NA,NA,NA,308,"2020-03-12T20:00:00Z",308,0,0,0,0,0
"749",20200312,"OH",5,30,52,NA,NA,87,"2020-03-12T20:00:00Z",35,0,0,9,1,10
"750",20200312,"OK",3,36,4,NA,NA,43,"2020-03-12T20:00:00Z",39,0,0,21,1,22
"751",20200312,"OR",19,286,62,NA,NA,367,"2020-03-12T20:00:00Z",305,0,0,0,0,0
"752",20200312,"PA",22,116,81,NA,NA,219,"2020-03-12T20:00:00Z",138,0,0,28,7,35
"753",20200312,"RI",5,94,8,NA,NA,107,"2020-03-12T20:00:00Z",99,0,0,36,0,36
"754",20200312,"SC",10,48,NA,NA,NA,58,"2020-03-12T20:00:00Z",58,0,0,16,1,17
"755",20200312,"SD",8,27,11,NA,NA,46,"2020-03-12T20:00:00Z",35,0,0,14,3,17
"756",20200312,"TN",18,79,NA,NA,NA,97,"2020-03-12T20:00:00Z",97,0,0,29,11,40
"757",20200312,"TX",23,NA,NA,NA,NA,23,"2020-03-12T20:00:00Z",23,0,0,0,2,2
"758",20200312,"UT",4,131,NA,NA,NA,135,"2020-03-12T20:00:00Z",135,0,0,131,2,133
"759",20200312,"VA",17,117,NA,NA,NA,134,"2020-03-12T20:00:00Z",134,0,0,57,8,65
"760",20200312,"VT",2,97,NA,NA,NA,99,"2020-03-12T20:00:00Z",99,0,0,35,1,36
"761",20200312,"WA",337,3037,NA,NA,29,3403,"2020-03-12T20:00:00Z",3374,5,0,862,70,932
"762",20200312,"WI",8,84,NA,NA,NA,92,"2020-03-12T20:00:00Z",92,0,0,41,5,46
"763",20200312,"WV",0,7,1,NA,NA,8,"2020-03-12T20:00:00Z",7,0,0,4,0,4
"764",20200312,"WY",1,NA,NA,NA,NA,1,"2020-03-12T20:00:00Z",1,0,0,0,1,1
"765",20200311,"AK",0,46,14,NA,NA,60,"2020-03-11T20:00:00Z",46,0,0,23,0,23
"766",20200311,"AL",0,10,NA,NA,NA,10,"2020-03-11T20:00:00Z",10,0,0,10,0,10
"767",20200311,"AR",0,12,14,NA,NA,26,"2020-03-11T20:00:00Z",12,0,0,0,0,0
"768",20200311,"AZ",9,59,32,NA,NA,100,"2020-03-11T20:00:00Z",68,0,0,8,3,11
"769",20200311,"CA",157,916,NA,NA,NA,1073,"2020-03-11T20:00:00Z",1073,0,0,226,24,250
"770",20200311,"CO",28,251,NA,NA,NA,279,"2020-03-11T20:00:00Z",279,0,0,109,16,125
"771",20200311,"CT",3,71,NA,NA,NA,74,"2020-03-11T20:00:00Z",74,0,0,17,1,18
"772",20200311,"DC",4,20,15,NA,NA,39,"2020-03-11T20:00:00Z",24,0,0,3,-1,2
"773",20200311,"DE",1,17,2,NA,NA,20,"2020-03-11T20:00:00Z",18,0,0,0,1,1
"774",20200311,"FL",28,301,147,NA,2,476,"2020-03-11T20:00:00Z",329,2,0,79,9,88
"775",20200311,"GA",22,NA,NA,NA,NA,22,"2020-03-11T20:00:00Z",22,0,0,0,5,5
"776",20200311,"HI",2,NA,NA,NA,NA,2,"2020-03-11T20:00:00Z",2,0,0,0,0,0
"777",20200311,"IA",13,46,27,NA,NA,86,"2020-03-11T20:00:00Z",59,0,0,14,5,19
"778",20200311,"ID",0,67,NA,NA,NA,67,"2020-03-11T20:00:00Z",67,0,0,26,0,26
"779",20200311,"IL",19,244,63,NA,NA,326,"2020-03-11T20:00:00Z",263,0,0,0,0,0
"780",20200311,"IN",10,33,NA,NA,NA,43,"2020-03-11T20:00:00Z",43,0,0,3,4,7
"781",20200311,"KS",1,41,NA,NA,NA,42,"2020-03-11T20:00:00Z",42,0,0,24,0,24
"782",20200311,"KY",8,46,NA,NA,NA,54,"2020-03-11T20:00:00Z",54,0,0,18,2,20
"783",20200311,"LA",6,37,NA,NA,NA,43,"2020-03-11T20:00:00Z",43,0,0,26,5,31
"784",20200311,"MA",92,NA,NA,NA,NA,92,"2020-03-11T20:00:00Z",92,0,0,0,0,0
"785",20200311,"MD",9,94,NA,NA,NA,103,"2020-03-11T20:00:00Z",103,0,0,5,3,8
"786",20200311,"ME",0,42,5,NA,NA,47,"2020-03-11T20:00:00Z",42,0,0,22,0,22
"787",20200311,"MI",2,57,18,NA,NA,77,"2020-03-11T20:00:00Z",59,0,0,18,2,20
"788",20200311,"MN",5,217,NA,NA,NA,222,"2020-03-11T20:00:00Z",222,0,0,85,2,87
"789",20200311,"MO",1,NA,NA,NA,NA,1,"2020-03-11T20:00:00Z",1,0,0,0,0,0
"790",20200311,"MS",0,20,NA,NA,NA,20,"2020-03-11T20:00:00Z",20,0,0,20,0,20
"791",20200311,"MT",0,21,NA,NA,NA,21,"2020-03-11T20:00:00Z",21,0,0,6,0,6
"792",20200311,"NC",7,NA,NA,NA,NA,7,"2020-03-11T20:00:00Z",7,0,0,0,0,0
"793",20200311,"ND",0,7,6,NA,NA,13,"2020-03-11T20:00:00Z",7,0,0,1,0,1
"794",20200311,"NE",5,47,16,NA,NA,68,"2020-03-11T20:00:00Z",52,0,0,0,2,2
"795",20200311,"NH",4,38,5,NA,NA,47,"2020-03-11T20:00:00Z",42,0,0,0,0,0
"796",20200311,"NJ",24,57,20,NA,1,100,"2020-03-11T20:00:00Z",81,1,0,13,9,22
"797",20200311,"NM",3,87,NA,NA,NA,90,"2020-03-11T20:00:00Z",90,0,0,18,3,21
"798",20200311,"NV",5,168,NA,NA,NA,173,"2020-03-11T20:00:00Z",173,0,0,154,5,159
"799",20200311,"NY",216,92,NA,NA,NA,308,"2020-03-11T20:00:00Z",308,0,0,0,43,43
